pair_id,run_id,label,tier,notes,task_mode,provider,model,prompt_level,part_id,family,reference_path,generated_path,reference_mesh_path,generated_mesh_path,fast_mode,sample_points,voxel_pitch_mm,grading_profile,pass_rate,quality_score_0_100,overall_pass,valid_cad_rate,alignment_quality_icp_fitness,alignment_inlier_rmse_mm,chamfer_distance_mm,edge_chamfer_mm,hausdorff_95p_mm,hausdorff_99p_mm,point_to_surface_mean_mm,point_to_surface_max_mm,volume_diff_percent,signed_volume_diff_percent,surface_area_diff_percent,bbox_error_max_mm,bbox_error_axis_x_mm,bbox_error_axis_y_mm,bbox_error_axis_z_mm,obb_error_max_mm,centroid_offset_mm,inertia_tensor_error,mass_properties_error,component_count_match,watertight_manifold_pass,self_intersection_count,euler_genus_match,void_hole_count_match,feature_count_match,critical_dimension_error_mm,tolerance_band_pass_rate,feature_edge_distance_mm,normal_consistency,normal_angle_error_deg,curvature_distribution_error,cross_section_iou,slice_contour_distance_mm,voxel_iou,occupancy_precision,occupancy_recall,occupancy_f1,emd_distance,silhouette_iou,render_ssim,render_lpips,registration_failure_rate,composite_weighted_score
box_hole_0001__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,box_hole_0001,box_hole,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/box_hole_0001.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0001__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0001__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5227272727272727,44.5675444560022,False,1.0,0.93475,1.4795809316802815,1.2738700322723897,10.484383717227237,2.340851442353075,8.454798725157307,1.1921992380152948,11.032809303891295,4.683313827605743,4.683313827605743,2.9208469884574177,0.1135456650950104,0.04648992836433763,0.06553363883425334,0.1135456650950104,0.1135456650950033,0.47613213875916394,0.009797957715814685,0.007012139288425706,1.0,1.0,0.0,0.0,0.0,1.0,0.07518974409786712,1.0,10.510279770394996,0.9356356546089625,6.043828376922646,0.20912273728153338,0.016581747315970615,2.652879205298705,0.9032258064516129,0.972972972972973,0.9264705882352942,0.9491525423728815,0.10120327840262854,0.11630345848579628,0.10556034869171423,0.8944396513082857,0.0,0.7304969573207224
box_hole_0001__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,box_hole_0001,box_hole,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/box_hole_0001.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0001__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0001__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5227272727272727,44.55332555666063,False,1.0,0.93375,1.5035998196636482,1.2827555309356502,10.514082162170318,2.4014728674504493,8.086877620654178,1.1969395718635698,11.189965283296825,4.683313827604783,4.683313827604783,2.9208469884579675,0.23516470310795512,0.23516470310795512,0.1343402864876282,0.20239837482780132,0.23516470310795512,0.4602841463698119,0.009812149196426933,0.006948898776052877,1.0,1.0,0.0,0.0,0.0,1.0,0.19063445480779487,1.0,10.530395734094306,0.9386718687425094,5.844228274972716,0.2091227372815334,0.013181502930568407,3.0233118041796847,0.9032258064516129,0.972972972972973,0.9264705882352942,0.9491525423728815,0.09929653399127293,0.11764642946235271,0.1124021813060699,0.8875978186939301,0.0,0.7276883415327701
box_hole_0010__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,box_hole_0010,box_hole,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/box_hole_0010.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0010__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0010__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5909090909090909,51.64497142584662,False,1.0,0.82825,1.54585881034085,1.4497533992319398,10.522765032640626,2.6421623163668095,4.025884024969389,1.4043444815228927,6.748577225104821,0.9119621549496695,0.9119621549496695,1.640276658133062,0.2960581326024112,0.2960581326024112,0.2837099480183838,0.15467479304091825,0.2960581326024254,0.10828972280735459,0.001060137399845138,0.0008764118842428605,1.0,1.0,0.0,0.0,0.0,1.0,0.24481429122057108,1.0,10.522612343323113,0.9632971990540964,3.546541400239504,0.20912273728153347,0.006498709030354599,4.702324719477002,0.9732715609408411,0.9963516964611455,0.9767525035765379,0.9864547588947082,0.1085181087282899,0.11844855775316983,0.14190720333026025,0.8580927966697398,0.0,0.7636509099286422
box_hole_0010__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,box_hole_0010,box_hole,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/box_hole_0010.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0010__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0010__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5909090909090909,51.64497142584662,False,1.0,0.82825,1.54585881034085,1.4497533992319398,10.522765032640626,2.6421623163668095,4.025884024969389,1.4043444815228927,6.748577225104821,0.9119621549496695,0.9119621549496695,1.640276658133062,0.2960581326024112,0.2960581326024112,0.2837099480183838,0.15467479304091825,0.2960581326024254,0.10828972280735459,0.001060137399845138,0.0008764118842428605,1.0,1.0,0.0,0.0,0.0,1.0,0.24481429122057108,1.0,10.522612343323113,0.9632971990540964,3.546541400239504,0.20912273728153347,0.006498709030354599,4.702324719477002,0.9732715609408411,0.9963516964611455,0.9767525035765379,0.9864547588947082,0.09137122994538512,0.11844855775316983,0.14190720333026025,0.8580927966697398,0.0,0.7636509099286422
box_hole_0019__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,box_hole_0019,box_hole,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/box_hole_0019.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0019__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0019__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5,48.16784232413088,False,1.0,0.94775,1.246797065124485,1.1289038673716023,7.222746494048845,2.063547328980011,3.6435736954002147,1.106202707555517,7.656030506200588,1.4788666459492492,1.4788666459492492,1.3846445797545686,0.33659892329865215,0.15902538031966174,0.33659892329865215,0.20804332547864135,0.33659892329865215,0.10171378736080088,0.001730612052544608,0.0012613224222189291,1.0,1.0,0.0,0.0,0.0,1.0,0.23455587636565176,1.0,7.20691461706654,0.955689151296648,4.26589644770628,0.2091227372815334,0.01655850040933755,4.903235834007607,0.6884718498659518,0.8332251784555483,0.7985074626865671,0.8154969831692602,0.08554189023713939,0.09615145920386133,0.1570567231064575,0.8429432768935425,0.0,0.7937055210992648
box_hole_0019__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,box_hole_0019,box_hole,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/box_hole_0019.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0019__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0019__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5,48.16784232413088,False,1.0,0.94775,1.246797065124485,1.1289038673716023,7.222746494048845,2.063547328980011,3.6435736954002147,1.106202707555517,7.656030506200588,1.4788666459492492,1.4788666459492492,1.3846445797545686,0.33659892329865215,0.15902538031966174,0.33659892329865215,0.20804332547864135,0.33659892329865215,0.10171378736080088,0.001730612052544608,0.0012613224222189291,1.0,1.0,0.0,0.0,0.0,1.0,0.23455587636565176,1.0,7.20691461706654,0.955689151296648,4.26589644770628,0.2091227372815334,0.01655850040933755,4.903235834007607,0.6884718498659518,0.8332251784555483,0.7985074626865671,0.8154969831692602,0.08554189023713939,0.09615145920386133,0.1570567231064575,0.8429432768935425,0.0,0.7937055210992648
box_hole_0028__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,box_hole_0028,box_hole,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/box_hole_0028.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0028__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0028__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5227272727272727,44.79291971619056,False,1.0,0.90025,1.4450201304643293,1.3619762566331286,10.985931740467695,2.438887613752342,8.35958789650213,1.2521566825781705,9.4221613448687,2.76143760782672,2.76143760782672,3.1108794452443003,0.36119243638970033,0.08709497843574354,0.36119243638970033,0.31253363793945255,0.3611924363897927,0.36044181002298037,0.004591451042215371,0.0035828863635093775,1.0,1.0,0.0,0.0,0.0,1.0,0.2536070175882988,1.0,12.462048425277663,0.952405494322609,4.694126309253694,0.2091227372815334,0.023853907218900655,2.9307402109485348,0.9406528189910979,0.9824380165289256,0.9567404426559356,0.9694189602446482,0.08684828223310054,0.09738427346066815,0.1200517146631621,0.8799482853368379,0.0,0.7481840029592164
box_hole_0028__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,box_hole_0028,box_hole,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/box_hole_0028.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0028__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0028__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.75,66.11032453803941,False,1.0,0.91475,1.3251659592279956,1.2101575524674808,0.061974200663969296,2.206626115186603,2.6862541079672404,1.2061059535170473,3.3571198523449213,2.0474132463888925e-12,2.0474132463888925e-12,1.305756285213293e-12,0.12967268526812603,0.05205646535574715,0.12967268526812603,0.0491200409001209,0.12967268526812603,0.05949739074456057,0.0005979153928846119,0.0005114266982670071,1.0,1.0,0.0,1.0,1.0,1.0,0.07694973050799803,1.0,0.06197420066396929,0.9693231338918711,3.1847016999054434,0.0,0.016831614550576635,3.099060139548875,0.9890547263681592,0.9890547263681592,1.0,0.9944972486243121,0.0825047475432056,0.11792261436012112,0.12972496065403938,0.8702750393459606,0.0,0.8750727066750832
box_hole_0037__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L2,box_hole_0037,box_hole,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/box_hole_0037.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0037__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0037__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5,51.990326882112214,False,1.0,0.97925,1.015220379401668,0.8127629357181108,3.3747584130550523,1.5067823241639284,2.9016413585434684,0.8268233997495836,7.449753930531927,2.497856590324604,2.497856590324604,0.395710646827615,0.2800128622955782,0.13073262011252496,0.2800128622955782,0.035153747100096666,0.280012862295564,0.09012122939802181,0.0023034813956501004,0.0015747378547086813,1.0,1.0,0.0,0.0,0.0,1.0,0.14863307650273327,1.0,3.367679727145136,0.9402033949741913,5.522236977859066,0.20912273728153347,0.01609105180533752,4.770253907581319,0.7748478701825557,0.9030732860520094,0.8451327433628318,0.873142857142857,0.12689121033044548,0.10421802010212981,0.2208297247208564,0.7791702752791436,0.0,0.8524280644611274
box_hole_0037__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,box_hole_0037,box_hole,/Users/mejdi/Documents/New project/cad42_platform/benchmark_v1/references_parametric/box_hole_0037.step,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0037__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,/Users/mejdi/Documents/New project/cad42_platform/.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/box_hole_0037__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5,51.990326882112214,False,1.0,0.97925,1.015220379401668,0.8127629357181108,3.3747584130550523,1.5067823241639284,2.9016413585434684,0.8268233997495836,7.449753930531927,2.497856590324604,2.497856590324604,0.395710646827615,0.2800128622955782,0.13073262011252496,0.2800128622955782,0.035153747100096666,0.280012862295564,0.09012122939802181,0.0023034813956501004,0.0015747378547086813,1.0,1.0,0.0,0.0,0.0,1.0,0.14863307650273327,1.0,3.367679727145136,0.9402033949741913,5.522236977859066,0.20912273728153347,0.01609105180533752,4.770253907581319,0.7748478701825557,0.9030732860520094,0.8451327433628318,0.873142857142857,0.12689121033044548,0.10421802010212981,0.2208297247208564,0.7791702752791436,0.0,0.8524280644611274
