pair_id,run_id,label,tier,notes,task_mode,provider,model,prompt_level,part_id,family,reference_path,generated_path,reference_mesh_path,generated_mesh_path,fast_mode,sample_points,voxel_pitch_mm,grading_profile,pass_rate,quality_score_0_100,overall_pass,valid_cad_rate,alignment_quality_icp_fitness,alignment_inlier_rmse_mm,chamfer_distance_mm,edge_chamfer_mm,hausdorff_95p_mm,hausdorff_99p_mm,point_to_surface_mean_mm,point_to_surface_max_mm,volume_diff_percent,signed_volume_diff_percent,surface_area_diff_percent,bbox_error_max_mm,bbox_error_axis_x_mm,bbox_error_axis_y_mm,bbox_error_axis_z_mm,obb_error_max_mm,centroid_offset_mm,inertia_tensor_error,mass_properties_error,component_count_match,watertight_manifold_pass,self_intersection_count,euler_genus_match,void_hole_count_match,feature_count_match,critical_dimension_error_mm,tolerance_band_pass_rate,feature_edge_distance_mm,normal_consistency,normal_angle_error_deg,curvature_distribution_error,cross_section_iou,slice_contour_distance_mm,voxel_iou,occupancy_precision,occupancy_recall,occupancy_f1,emd_distance,silhouette_iou,render_ssim,render_lpips,registration_failure_rate,composite_weighted_score
flange_0003__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,flange_0003,flange,./benchmark_v1/references_parametric/flange_0003.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0003__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0003__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5681818181818182,51.751559082029395,False,1.0,0.77925,2.3971328474963767,1.7463583029070358,7.0301087567909555,5.773129589580596,9.106082197598415,1.7506081696880607,11.916227079507516,2.724985203246207e-07,2.724985203246207e-07,3.0609475656692117e-07,0.1831977200469197,0.024953746056013415,0.07245294583680106,0.1831977200469197,16.742306111170137,0.027229566739854976,0.0007716954049611126,0.0004592905362437491,1.0,1.0,0.0,1.0,1.0,1.0,0.09353480397991139,1.0,7.030108121655152,0.8752623323337143,12.117242187836991,0.0,0.007246376811594203,10.269278020573097,0.8336762688614541,0.908785046728972,0.9098053892215568,0.9092949317374228,0.07607474123382307,0.07922195272840339,0.17078896917935238,0.8292110308206476,0.0,0.6917600480197158
flange_0003__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L3,flange_0003,flange,./benchmark_v1/references_parametric/flange_0003.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0003__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0003__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.6136363636363636,53.73553533268222,False,1.0,0.80075,1.8046516995886128,1.5212359702784197,2.7796559806888235,3.07787812281418,5.96119771517768,1.5200120223599678,6.87835148759262,2.0261094810301098e-08,2.0261094810301098e-08,2.2713822849517474e-08,0.14006194280629813,0.005910716370379987,0.04289735093504987,0.14006194280629813,26.505049902534182,0.09120645068459932,0.0005899721566797673,0.0005409855927557912,1.0,1.0,0.0,1.0,1.0,1.0,0.06295667003724266,1.0,2.779659257856568,0.9032879370850667,10.085875180790078,0.0,0.004680544645195077,7.894649345593819,0.8895575221238938,0.9426106526631658,0.9404940119760479,0.9415511427500936,0.08957926914732285,0.08538420502055517,0.17876651903137805,0.8212334809686219,0.0,0.7580657758707026
flange_0012__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,flange_0012,flange,./benchmark_v1/references_parametric/flange_0012.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0012__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0012__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5,49.926748332244344,False,1.0,0.78725,1.969197183117664,1.601056840083011,4.227597721240219,4.079326316579858,6.76011468182112,1.6029784489326548,8.080126984405485,3.6591115481180186e-07,3.6591115481180186e-07,7.592319350879273e-08,0.050397891174149834,0.02537194707809931,0.04320764930488963,0.050397891174149834,20.0398677315342,0.05583459157291523,0.00022168049345658433,0.0002644877418727512,1.0,1.0,0.0,1.0,1.0,1.0,0.039659162519046255,1.0,4.227567988529517,0.823052719292819,16.957557644358193,0.0,0.00808545008912656,9.986632887384495,0.8066717210007581,0.8888888888888888,0.897133220910624,0.892992026856903,0.06879703171346731,0.08288039837300373,0.1675094825015843,0.8324905174984157,0.0,0.7139775081570061
flange_0012__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,flange_0012,flange,./benchmark_v1/references_parametric/flange_0012.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0012__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0012__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5,41.99133982821543,False,1.0,0.87575,1.4679550617267716,1.429961587428088,6.114413455317698,2.9270789316307186,6.521485327061163,1.3214602519026528,5.792141370147901,6.266318334114196,6.266318334114196,6.497144968196807,0.12330000718907641,0.0036340066378812708,0.04089128277806253,0.12330000718907641,3.6295925094046595,0.35100229895291013,0.0507945514944281,0.02636317560435964,1.0,1.0,0.0,0.0,0.0,0.4,0.05594176553500674,1.0,0.7990399654151908,0.9214212449401482,7.733283803707791,0.020017380814279798,0.0,10.520944334418122,0.8845360824742268,0.9758871701546861,0.904300168634064,0.9387308533916848,0.061890245952909706,0.07429033336216209,0.1924646215853304,0.8075353784146696,0.0,0.6884571259128492
flange_0021__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,flange_0021,flange,./benchmark_v1/references_parametric/flange_0021.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0021__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0021__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5681818181818182,50.75101968842246,False,1.0,0.7925,2.0671436201224687,1.6259359859712028,3.7949978930855446,4.1317701675526965,7.430815536905409,1.622651997821149,9.28710910576685,4.130622164252685e-08,4.130622164252685e-08,1.670852814525951e-08,0.08500459886204581,0.019839100564979617,0.04718890961154898,0.08500459886204581,14.254891833538835,0.046348749253792114,0.00038415336904761065,0.00032552139348751395,1.0,1.0,0.0,1.0,1.0,1.0,0.05067753634619147,1.0,3.7949955169116154,0.8531838288359846,14.480305130751054,0.0,0.0,10.115952192709813,0.8338485316846986,0.9059613769941226,0.9128595600676819,0.9093973872734935,0.06648993799389294,0.08712675961581536,0.1659740248709564,0.8340259751290436,0.0,0.7194284867059841
flange_0021__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,flange_0021,flange,./benchmark_v1/references_parametric/flange_0021.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0021__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0021__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5,43.400249074047444,False,1.0,0.88275,1.420291155131576,1.437251559843664,5.4282745959771805,2.74809413260882,7.64687170918636,1.3025959629847321,5.612573730455785,4.284439146113189,4.284439146113189,6.065838765011631,0.14752056824914916,0.011295438004950142,0.057176776525253104,0.14752056824914916,19.7451750538296,0.31862670189079195,0.035592609148617865,0.018713676632593858,1.0,1.0,0.0,0.0,0.0,0.5,0.07199759425978414,1.0,0.6028504606963598,0.9412434922111225,6.097919175944132,0.0130249122393881,0.0026881720430107525,11.202530801972209,0.9049207673060884,0.984573502722323,0.9179357021996616,0.9500875656742558,0.06693129564943993,0.0791687851291673,0.18174858671533678,0.8182514132846632,0.0,0.7106366492974078
flange_0030__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,flange_0030,flange,./benchmark_v1/references_parametric/flange_0030.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0030__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0030__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.7727272727272727,70.48117171058794,False,1.0,0.97525,1.0931981769674872,1.0000050714911535,0.10544431284899325,1.8220175307759323,2.2193327746429667,0.9994552690318744,2.96166774524967,2.7029696991458454e-08,2.7029696991458454e-08,1.55978022674504e-08,0.1674838810563486,0.03266278416472801,0.019860577914073474,0.1674838810563486,0.3319382037948486,0.022278255190298423,0.0009498638733710281,0.0005578051306843042,1.0,1.0,0.0,1.0,1.0,1.0,0.07333574771171669,1.0,0.10544188949785255,0.9644393618632331,4.3260629505308374,0.0,0.0024509803921568627,5.88754087185281,1.0,1.0,1.0,1.0,0.0762233456748032,0.086586713295488,0.18308444486894646,0.8169155551310535,0.0,0.9209029972172171
flange_0030__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,flange_0030,flange,./benchmark_v1/references_parametric/flange_0030.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0030__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0030__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5,43.830941426384136,False,1.0,0.90575,1.6852798717799933,1.3537915633608018,5.644447844544415,3.8404220953924777,8.405499287093622,1.2619314980828016,10.045684957894677,1.7027184280818353,1.7027184280818353,4.018516228565749,0.02965912828636874,0.004420830406942855,0.02965912828636874,0.028317070260108324,27.30553337241801,0.8116770271473455,0.012274535263984535,0.009156636391374996,1.0,1.0,0.0,0.0,0.0,0.753968253968254,0.020799009651139972,1.0,3.9449163599240187,0.8909383089069305,10.624333178173176,0.0029943158864346106,0.0021929824561403508,7.264274689566322,0.8374083129584352,0.9219380888290714,0.9013157894736842,0.9115103127079175,0.08149301339151487,0.08944394750814089,0.1623702584657967,0.8376297415342033,0.0,0.7411943619910174
flange_0039__L2__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,positive,,,generate,anthropic,claude-sonnet-4-20250514,L2,flange_0039,flange,./benchmark_v1/references_parametric/flange_0039.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0039__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0039__L2__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.5227272727272727,49.63185231919808,False,1.0,0.81925,2.1834020011682753,1.6267729267983035,6.229396459098901,4.88253673730287,8.43568956347979,1.6370536000305602,10.51541031432796,2.1418719681730153e-09,2.1418719681730153e-09,3.250397147516732e-09,0.16143828616159084,0.0025929887257660766,0.05554639580461185,0.16143828616159084,8.408396390261572,0.12250620651293492,0.0007158185126635392,0.0007045398095812299,1.0,1.0,0.0,1.0,1.0,1.0,0.07319255689732292,1.0,6.229393277231996,0.8819739855513029,11.483607495876065,0.0,0.0021367521367521365,9.511419575589587,0.6609543010752689,0.8044989775051125,0.7874299439551641,0.7958729516487961,0.06619332470964297,0.08108900683461084,0.1717919886669523,0.8282080113330477,0.0,0.6820294521368789
flange_0039__L3__anthropic__claude-sonnet-4-20250514__r1,parametric_claude_sonnet_v1,negative,,,generate,anthropic,claude-sonnet-4-20250514,L3,flange_0039,flange,./benchmark_v1/references_parametric/flange_0039.step,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0039__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.step,,./.stepscore_harness_runs/parametric_claude_sonnet_v1/jobs/flange_0039__L3__anthropic__claude-sonnet-4-20250514__r1/attempt_01/generated.stl,True,10000,2.0,full_44,0.45454545454545453,43.99345153406552,False,1.0,0.878,1.4031909655117993,1.4166082276270098,4.511418605072207,2.59837530286038,7.943616386018051,1.2777613526429055,3.553358511834346,1.6896120066155322,1.6896120066155322,6.091119852216754,0.052213770035471896,0.008931020863641947,0.040193789149626014,0.052213770035471896,3.5293800742055055,0.10106142622480327,0.01037844208923088,0.005475173724741767,1.0,1.0,0.0,0.0,0.0,0.4,0.033779526682913286,1.0,1.0014833161018772,0.9496817696419002,5.369279422011487,0.020017380814279884,0.00522875816993464,9.176641830887077,0.6420395421436004,0.8278175313059034,0.7409927942353883,0.7820025348542459,0.08351755694881269,0.09541800961467195,0.18861723858306645,0.8113827614169336,0.0,0.7420264769419522
